Questionnaire Code,2. Are you displaced because of the current crisis?,5.Who is the head of household?,6.How many people slept here last night?,8.Do you also use this water source for cooking and hygiene (e.g. bathing)?,10. What is the main source of hygiene/bathing water for members of your household?,11.How many 20 liter jerry cans (or equivalent container) did you collect yesterday?,"12. How many 20 liter Jerry Cans did you use yesterday for drinking, cooking, hygiene/bathing purposes?",13. On how many days in the last week did you feel that the household had insufficient quantity of drinking water?,"14. If more than 0 days, what was the main reason for this?",16. How long do you usually wait in line for water?,17. Do you treat your water in any way to make it safer to drink?,"18. If yes, what do you usually do to the water to make it safer to drink? Record all items mentioned",21. Do you share a latrine with other households?,22. Is there soap or ash available for hand washing at the latrine?,24. For surveyor only (DO NOT ASK THE RESPONDENT) Observe:  Is there any evidence of feces in the living area?,25. How many children under 5 years of age live in this home?,26. How many children under 5 years of age had diarrhea in the past 2 weeks?,27. What is the age of the youngest child in your household? (in months),28. Has this child ever been breastfed?,29. Was this child breastfed within the first hour after birth?,30. Is the child on exclusive breastfeeding?,31. When do you wash your hands?,"32. Do you have a household hand washing facility? If yes, show me.",33. Is the hand washing facility still functioning?,34. How many feddans are you cultivating this year?,35. How many feddans would you cultivate in a normal year (before the conflict)?,36. How long will your current food stock last?,37. What is the single biggest obstacle to providing food for your family?,39. Over the last 7 days how many days did you consume Sorghum/Dura?,40. Over the last 7 days how many days did you consume Maize?,41. Over the last 7 days how many days did you consume Cassava/Millet/Rice/Roots (other cereals and tubers)?,"42. Over the last 7 days how many days did you consume G-nuts, Beans, Simsim, peas (other pulses)?",43. Over the last 7 days how many days did you consume Fruits and Vegetables,44. Over the last 7 days how many days did you consume Meat/Chicken/Fish,45. Over the last 7 days how many days did you consume Milk/Eggs/Ghee/Cheese/Yogurt?,46. Over the last 7 days how many days did you consume Sugar/Honey/Sweets?,47. Over the last 7 days how many days did you consume Oil/Fats,48. What is the main source of your food?,Q3respondentsex,Q4HHmember,Q7drinkingwater,Q9cookingwater,Q20toilet,Q15watertime,Q38market
1,false,Female,5,true,"Surface water (river, pond)",3,3,1,Lack of jerry cans,< 30 min,false,NA,No,No,true,2,,2,true,true,false,Before eating,false,No,2,3,More than 1 month,Weather,7,7,0,0,0,0,7,2,0,Work for food,Female,Father / Mother,"Surface water (river, pond)","Surface water (river, pond)",Bush,1 – 2 hours,6-10km (between one and two hours walk)
2,false,Female,20,true,"Surface water (river, pond)",0,1,1,Lack of jerry cans,< 30 min,false,Strain through cloth,No,No,true,15,4,12,true,true,true,Before eating,false,No,3,3,More than 1 month,Weather,7,7,0,0,0,0,7,1,2,Gathering,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,6-10km (between one and two hours walk)
3,false,Female,15,true,"Surface water (river, pond)",2,2,1,Lack of jerry cans,< 30 min,false,NA,No,No,true,20,5,4,true,true,true,Before eating,false,No,3,4,One week to one month,No seeds,2,2,0,0,0,0,0,0,0,Gathering,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,More than 10km (more than two hours walk) )
4,false,Female,10,true,"Surface water (river, pond)",3,3,2,Lack of jerry cans,< 30 min,false,Boil,No,No,true,3,1,12,true,true,true,Before eating,true,No,1,3,One week to one month,Insecurity,0,0,0,0,0,0,0,0,2,Gathering,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,More than 10km (more than two hours walk) )
5,false,Female,5,true,"Surface water (river, pond)",4,4,1,Lack of jerry cans,Don’t know,false,NA,No,No,true,4,1,2,true,true,true,Before preparing food,true,Yes,1,2,More than 1 month,No seeds,7,7,0,0,0,0,1,1,2,Gathering,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,More than 10km (more than two hours walk) )
6,false,Female,5,true,"Surface water (river, pond)",3,3,2,Lack of jerry cans,< 30 min,false,Strain through cloth,No,No,true,6,2,12,true,true,true,Before feeding children,true,No,3,8,One week to one month,Weather,3,2,0,0,0,2,7,5,5,Gifts from neighbors/relatives,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,0-5km (less than one hour walk)
7,false,Female,10,true,"Surface water (river, pond)",2,2,0,Lack of jerry cans,< 30 min,false,Strain through cloth,No,No,true,10,2,4,true,true,true,After defecating,true,No,2,3,One week to one month,Insecurity,0,0,0,0,0,0,0,0,2,Gifts from neighbors/relatives,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,6-10km (between one and two hours walk)
8,false,Female,5,true,"Surface water (river, pond)",4,3,1,Lack of jerry cans,< 30 min,false,Boil,No,No,true,6,3,2,true,true,true,Before eating,false,No,5,6,More than 1 month,Weather,7,3,0,0,0,0,7,0,0,Gifts from neighbors/relatives,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,More than 10km (more than two hours walk) )
9,false,Female,10,true,"Surface water (river, pond)",2,2,1,Lack of jerry cans,< 30 min,true,Strain through cloth,Yes – shared latrine,No,true,10,1,3,true,true,false,Before eating,true,No,2,2,More than 1 month,Weather,0,0,0,0,0,1,7,2,1,Gifts from neighbors/relatives,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,6-10km (between one and two hours walk)
10,false,Female,5,true,"Surface water (river, pond)",4,3,2,High consumption,< 30 min,true,Strain through cloth,Yes – shared latrine,No,true,6,3,2,true,true,false,Before feeding children,true,No,5,6,More than 1 month,Weather,2,1,0,0,0,0,7,1,2,Gifts from neighbors/relatives,Female,Father / Mother,Protected dug well/Borehole,"Surface water (river, pond)",Bush,< 30 min,6-10km (between one and two hours walk)
